instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_Usefulness,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
11,0.035787797601003146,0.03373108656742435,0.0,0.7307692307692308,0.0,0.11864406779661019,0.25406531015737677,0.0,0.27945706791550984,1.0,0.6,0.3728813559322034,0.0,0.07257797742132018,0.24206822447421605,0.0013860990001891746,0.04024704374715051,0.013188251741321575,0.007752073002129143,0.021805239949194498
12,0.035787798505239055,0.033731087471324084,0.0,0.7307692307692308,0.0,0.6949152542372881,0.520997365506764,0.0,0.3528508978118281,1.0,0.6,0.3220338983050848,0.0,0.07257797742132018,0.11026026948961175,0.006905662835551017,0.04024704738176779,0.03477016040071376,0.10148350910826619,0.023977597101466668
13,0.03578779761287132,0.03373108657928814,0.0,0.7692307692307693,0.0,0.4067796610169492,0.4153799838120176,0.0,0.33742951647100194,1.0,0.6,0.1694915254237288,0.0,0.03646337370673129,0.06690213392759775,0.0054450953270926,0.03970892632864685,0.03692576948540291,0.004913332088467224,0.007271413987573083
14,0.03578779770626883,0.0337310866726509,0.0,0.6153846153846154,0.0,0.18644067796610164,0.23251387411418356,0.0,0.32523545645350116,1.0,0.6,0.6949152542372881,0.0,0.05863103123902946,0.1476598031243858,0.0019964424091126567,0.04844658628916731,0.014376764604210564,0.0010483381911783223,0.023291868670263116
15,0.03578779760100281,0.03373108656742396,0.0,0.576923076923077,0.0,0.13559322033898302,0.26049851478130825,0.0,0.2910261746045989,1.0,0.6,0.6271186440677966,0.0,0.031997008205892546,0.06552752930468538,0.00021319854437243081,0.03970892116688459,0.017823043206208703,0.0003779974648026935,0.009426575890197316
16,0.03578779760103179,0.03373108656745294,0.0,0.6923076923076923,0.0,0.06779661016949157,0.16697776433401768,0.0,0.23735751308947772,1.0,0.6,0.35593220338983056,0.0,0.056681341790711416,0.1476598031243858,0.008205046198223197,0.048446593980012394,0.013133126277731926,0.013951834690585243,0.01099052687956548
17,0.03578779760113038,0.03373108656755153,0.0,0.7307692307692308,0.0,0.13559322033898302,0.09004479750192029,0.0,0.275053499796704,1.0,0.6,0.35593220338983056,0.0,0.037680693013240354,0.1399335360358771,0.006727880548253806,0.04830367714910193,0.013842437610110937,0.019423730996776876,0.010701857643594517
18,0.03578779766046858,0.033731086626867635,0.0,0.7307692307692308,0.0,0.30508474576271183,0.27587924217904125,0.0,0.2866142037310345,1.0,0.6,0.38983050847457623,0.0,0.08129836353564326,0.16386196301911435,0.009145634569578055,0.04024705146927511,0.014960095761729002,0.012453199702183688,0.025547967702168252
19,0.03578779760100281,0.03373108656742396,0.0,0.6538461538461539,0.0,0.1694915254237288,0.2317872849962237,0.0,0.24175543606709315,1.0,0.6,0.6271186440677966,0.0,0.019055235358602828,0.1653963133255233,0.026996708564759168,0.02836222793750315,0.017934329068397106,0.030864378033798396,0.02311211738186965
20,0.03578831693732498,0.033731605710701384,0.0,0.8846153846153846,0.0,0.1694915254237288,0.2832748060963869,0.0,0.32387255501606904,1.0,0.6,0.423728813559322,0.0,0.03475768862262496,0.06884412863249392,0.004984304778108501,0.039708927331906785,0.021635952166981737,0.008670311358742385,0.0073487087468489965
