instances,feature_kDN,feature_N1,feature_CL,feature_DCP,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
29,0.0,0.0,0.03578842715803732,0.0,0.07832121914296467,0.23445664520786416,0.036486226071406,0.04024705387668516,0.01400226489708477,0.02021380782478392,0.03269920976099841
30,0.0,0.0,0.035787859541582256,0.0,0.033124027032756506,0.06550060361769916,0.03612799852353955,0.039708944561945916,0.024417247224247898,0.008507592063846681,0.00791803738220324
31,0.0,0.0,0.03578779763622264,0.0,0.021917277826402546,0.1653963133255233,0.019599196792794166,0.028362956200138466,0.02646444216765277,0.01410740107207092,0.03817712203532372
32,0.0,0.0,0.035787797601002924,0.0,0.037680693013240354,0.1399335360358771,0.0052576893426719866,0.04830367693843353,0.014907584330875714,0.006221153663490496,0.010905769325363922
33,0.0,0.0,0.03583206248649262,0.0,0.021917277826402546,0.17754042105938775,0.16244242953687807,0.02838642765422243,0.027652008671882958,0.11584604488968614,0.03380100136437484
34,0.0,0.0,0.03578781976534828,0.0,0.037680693013240354,0.1399335360358771,0.02797473032468726,0.0483036769309069,0.027382285851200328,0.009315423422913962,0.038861786176145094
35,0.0,0.0,0.035789305354344436,0.0,0.07257797742132018,0.1287406133406459,0.01855169101047562,0.04024705235941786,0.020797066542569725,0.021902284578047163,0.026197029018770794
36,0.0,0.0,0.03578863696369505,0.0,0.02041607825986506,0.17754042105938775,0.17229235337064075,0.0284293680329674,0.01672973526903436,0.1105103622891758,0.03633772322176479
37,0.0,0.0,0.03584935299949055,0.0,0.0378129189920003,0.0702878389565297,0.018052080238793646,0.03970947577963843,0.02772206399431794,0.016871933741951083,0.011255449771422395
38,0.1,0.25,0.035880667143704637,0.0,0.029632160979638538,0.1653963133255233,0.06364713660402162,0.02836885561572049,0.029983902401869284,0.033389696242972444,0.032941908185442355
39,0.2,0.0,0.03784053349809424,0.0,0.17708017356338301,0.15824722786555895,0.637982454375412,0.04903238700042814,0.12470498168206881,0.5584115333486319,0.07400875108563691
40,0.0,0.0,0.03578822436017626,0.0,0.07761280663361309,0.9781145480970235,0.003922433296170782,0.048303676920367494,0.04277514685304541,0.01521599677238823,0.014886370427637281
41,0.0,0.0,0.03578783548157882,0.0,0.07601219601792107,0.14334239721609332,0.0959853382777588,0.04830368044372137,0.041937130974181724,0.03642575347774582,0.015242316270498648
42,0.1,0.0,0.03631885566610871,0.0,0.06066800877795208,0.1476598031243858,0.08963869706097177,0.04844810888218024,0.020083457801328093,0.05639995694316323,0.024626027353119383
43,0.0,0.0,0.03578779774468044,0.0,0.07257797742132018,0.1293858492775164,0.0013292731885695512,0.040247043775973254,0.01421131867931275,0.007016059986145043,0.022072803788595698
44,0.3,0.5,0.40944286184757495,0.9682539682539683,1.918305903120313,4.001164224398628,0.1521769258678161,0.02852020420383887,0.7192524542062054,0.08367047102775704,0.04444516717408628
45,0.0,0.5,0.03580478331337644,0.0,0.06279605869238153,0.1476598031243858,0.5190609412571439,0.049495862205043345,0.013398457072611286,0.388433960772291,0.04869613188863069
46,0.0,0.0,0.03578781397176789,0.0,0.031997008205892546,0.06552752930468538,0.030665700854057152,0.03970896045251349,0.025118154955703638,0.18687305730429943,0.007084835202156474
47,0.0,0.0,0.03578779782507313,0.0,0.07257797742132018,0.1293858492775164,0.0028184292830909486,0.04024704375114594,0.012828364659352895,0.0054216990575453065,0.022075615883437347
48,0.0,0.0,0.035787798111986624,0.0,0.021917277826402546,0.17754042105938775,0.01586281521812131,0.028362194540585157,0.014380305226462508,0.008241124847138877,0.020705794559793017
49,0.0,0.0,0.03578779770381768,0.0,0.056681341790711416,0.1476598031243858,0.017901055954628275,0.0484468651345796,0.011327882153316041,0.022329232353989717,0.012668466115539938
50,0.0,0.0,0.03578779760100281,0.0,0.019055235358602828,0.1653963133255233,0.012937231238606807,0.028362383835435698,0.016304037467129932,0.01958391862420815,0.018820821300830355
51,0.0,0.0,0.03578779813569011,0.0,0.02357307882543643,0.1653963133255233,0.07204991309478521,0.028363411984288194,0.020747875379802855,0.013907643487728308,0.051245208907438465
52,0.0,0.0,0.03578779761626194,0.0,0.07257797742132018,0.17395994128134654,0.0038340368949919632,0.0402470437734649,0.013460809030188769,0.013314990449331439,0.022287943290127815
53,0.0,0.0,0.0357877976011125,0.0,0.056681341790711416,0.1476598031243858,0.0024688510210316068,0.048446586731474034,0.01188711864985582,0.0017593384933899093,0.014055375729921884
54,0.0,0.0,0.03578779760105011,0.0,0.037680693013240354,0.1399335360358771,0.005140352729732434,0.04830367692755552,0.01635412644155825,0.011359308677118334,0.009960571320991244
